Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
1690	-69.0224	-76.90916	7.886762	0.12772	0.145913	0.0235889	0.0666713	0.101546	0.160131	0.394871	0.304157	0.300972
1700	-68.89383	-72.99968	4.105848	0.0284258	0.393436	0.252159	0.0265053	0.0407895	0.166973	0.0433522	0.940513	0.0161343
1710	-70.55736	-74.75944	4.202082	0.344659	0.0796599	0.100116	0.188509	0.0700734	0.118075	0.508575	0.282473	0.208952
1720	-66.84832	-74.02404	7.17572	0.275119	0.0251869	0.0371403	0.126478	0.148408	0.0664051	0.0672483	0.176344	0.756407
1730	-67.45122	-76.7386	9.287383	0.0729464	0.076582	0.141656	0.0501531	0.119454	0.0600463	0.051151	0.621096	0.327753
1740	-68.72921	-73.29422	4.565008	0.107795	0.113384	0.37069	0.0412927	0.130276	0.110518	0.123227	0.285653	0.59112
1750	-69.37718	-76.05319	6.676002	0.234619	0.0450864	0.059917	0.0808848	0.228196	0.0674008	0.507402	0.0379015	0.454696
1760	-68.87392	-74.42701	5.553085	0.292381	0.0781965	0.110639	0.0740236	0.159136	0.0856947	0.092423	0.636233	0.271344
1770	-68.55439	-74.67975	6.12536	0.143547	0.205642	0.0782074	0.0793568	0.130214	0.120311	0.926589	0.0374673	0.0359441
1780	-70.48373	-75.58436	5.100631	0.239274	0.223954	0.118165	0.0208864	0.105715	0.125909	0.198886	0.727023	0.0740913
1790	-68.05662	-73.86181	5.805184	0.0389454	0.141543	0.356795	0.081884	0.0683342	0.0937179	0.114094	0.116229	0.769678
1800	-71.92075	-73.01103	1.090286	0.204525	0.385436	0.241921	0.00578168	0.12475	0.171364	0.259998	0.630365	0.109637
1810	-70.88873	-75.02585	4.137121	0.257664	0.0524398	0.190739	0.23776	0.12064	0.0467071	0.834148	0.0111882	0.154664
1820	-69.43079	-74.69717	5.266387	0.191259	0.0979011	0.161441	0.217108	0.0963559	0.0574446	0.390549	0.364411	0.245039
1830	-74.36093	-74.66692	0.3059911	0.028879	0.315878	0.339432	0.0270717	0.270081	0.211083	0.332496	0.433414	0.23409
1840	-67.39674	-75.55568	8.158948	0.0259645	0.183456	0.248136	0.00185987	0.0284051	0.117395	0.863479	0.0593782	0.0771426
1850	-67.25933	-74.25856	6.999226	0.198378	0.0548439	0.0611864	0.147685	0.161545	0.0682969	0.103716	0.0515095	0.844774
1860	-68.81251	-74.38809	5.575587	0.20626	0.140477	0.0784787	0.136622	0.111527	0.125024	0.833902	0.112952	0.0531464
1870	-68.66814	-75.22552	6.55738	0.204072	0.0332111	0.0692546	0.167873	0.0816342	0.168929	0.0011389	0.168803	0.830058
1880	-71.7224	-71.75767	0.03526995	0.147587	0.304611	0.404283	0.173949	0.0626062	0.11963	0.249458	0.64315	0.107392
1890	-69.07304	-74.51553	5.442482	0.0422305	0.31415	0.168254	0.0575656	0.038424	0.187717	0.391915	0.35065	0.257435
1900	-69.19872	-73.81517	4.616449	0.304734	0.167629	0.0265194	0.201339	0.0973485	0.072539	0.342554	0.0444415	0.613005
